front,back,hint,publishedAt
"语音","Audio","","2024-06-18T00:43:19.270Z"
"翻译","translation","","2024-05-29T00:01:50.453Z"
"胸","Chest","","2024-05-29T00:10:20.892Z"
"市面","marketplace","","2023-12-05T09:12:10.832Z"
"下体","genitals","","2024-05-28T15:41:01.065Z"
"女性","female","","2024-05-28T15:39:45.076Z"
"黄","pornographic","","2024-05-28T15:38:55.759Z"
"孔子","Confucius","","2024-05-28T15:37:44.594Z"
"欲望","Desire","","2024-05-28T15:37:19.234Z"
"频繁","frequently","","2024-04-05T05:20:11.286Z"
"大胆","Bold; Daring","","2024-05-28T15:36:49.728Z"
"为止","until","","2024-04-17T03:05:14.784Z"
"延期","to postpone","","2025-01-15T06:55:42.967Z"
"疑問","Doubts","","2025-03-30T03:42:58.011Z"
"口气","tone of voice","","2025-05-01T03:34:16.007Z"
"进化","evolution","","2025-06-06T06:21:02.370Z"
"肆意","recklessly","","2025-06-14T18:02:05.938Z"
"证据","evidence","","2025-01-17T06:38:12.669Z"
"主意","idea","","2025-03-12T05:08:11.103Z"
"心眼","intentions","","2025-01-15T06:54:18.675Z"
"魔鬼","devil","","2025-06-14T17:53:16.850Z"
"百搭","pairs well with everything","","2025-02-01T03:24:28.723Z"
"工资","salary","","2025-06-06T05:01:36.050Z"
"感染","Infections","","2025-03-21T16:11:51.133Z"
"即便","even if","","2025-03-21T03:58:50.577Z"
"体力","physical strength","","2025-06-03T19:19:31.132Z"
"移开","to move something away","","2025-04-14T05:15:24.630Z"
"认可","to approve; to recognize","","2025-06-21T06:45:56.787Z"
"互动","interact","","2025-03-21T04:51:24.349Z"
"耙耳朵","men who fear their wives","","2025-02-23T04:18:38.074Z"
"清单","checklist","","2024-11-24T07:29:51.433Z"
"牛马","corporate slaves","","2025-01-16T22:49:58.421Z"
"比起","compared with","","2025-01-10T07:56:49.723Z"
"包裹","Packages","","2025-03-12T03:41:16.012Z"
"任","to allow; to assign","","2025-06-14T18:03:00.180Z"
"问好","to say hello","","2025-01-15T02:35:53.207Z"
"脉搏","pulse","","2025-06-14T18:40:49.009Z"
"宿命","destiny","","2025-02-10T06:41:47.017Z"
"要不然","Otherwise","","2025-05-26T18:23:57.453Z"
"不懂装懂","pretend to understand when you don't","","2025-06-21T21:22:18.178Z"
"观察","to observe","","2024-12-08T05:58:11.921Z"
"抢劫","robbery","","2025-03-08T03:58:36.159Z"
"不断的","never-ending","","2025-06-06T06:21:44.126Z"
"畏手畏脚","afraid of the slightest thing","","2025-04-08T02:31:47.568Z"
"耐力","stamina","","2025-01-19T01:59:07.607Z"
"合拍","compatible","","2025-03-07T08:34:15.546Z"
"家居","household","","2024-09-19T00:35:13.779Z"
"词组","phrase (grammar)","","2025-01-10T08:24:02.108Z"
"勤快","diligent","","2025-02-08T00:04:59.469Z"
"诉苦","to express grievance","","2025-03-08T03:59:58.370Z"
"勇士","warrior","","2025-05-14T04:02:56.677Z"
"随时","whenever","","2025-04-27T19:49:46.112Z"
"同情","Sympathy","","2025-04-08T16:55:29.629Z"
"物体","object","","2025-05-19T06:30:15.827Z"
"魅力","charm","","2025-01-09T07:16:21.014Z"
"愈","to heal","","2025-06-14T18:43:27.004Z"
"粗鲁","rude","","2025-02-25T07:36:37.979Z"
"疤","scars","","2025-06-14T17:58:45.326Z"
"无穷无尽","infinite","","2025-01-09T06:56:19.829Z"
"含义","implication","","2024-04-30T03:37:45.875Z"
"划","to scratch into the surface","","2025-06-14T18:00:50.438Z"
"死不认错","not my fault","","2025-01-28T23:30:24.707Z"
"绝对","Absolute","","2025-06-14T17:53:33.018Z"
"总而言之","in short; overall","","2025-03-09T08:43:35.375Z"
"内容","Contents","","2024-11-27T03:41:27.229Z"
"振作","to get your shit together","","2025-03-08T04:00:55.735Z"
"天使","Angel","","2025-06-14T17:52:50.329Z"
"大吉大利","great luck, great profit","","2025-04-03T16:40:28.371Z"
"板栗","chestnut","","2025-06-05T00:35:50.783Z"
"随你","do as you wish","","2025-06-14T18:01:13.085Z"
"大可不必","need not","","2025-06-14T17:50:58.994Z"
"需求","to require","","2025-04-09T04:26:10.420Z"
"进食","to have a meal","","2025-02-27T06:21:11.245Z"
"受害","to be a victim of","","2025-04-09T04:04:09.342Z"
"沙漠","desert","","2025-04-25T02:58:05.711Z"
"此","this","","2025-01-09T05:20:03.962Z"
"是非","moral dispute (right and wrong)","","2025-06-14T17:56:59.779Z"
"铃声","ringtone","","2025-02-10T06:39:34.585Z"
"跳动","to bounce; to throb","","2025-06-14T18:41:27.091Z"
"干脆","simply; candid; direct","","2025-06-14T17:57:34.399Z"
"本地","locally","","2025-06-17T00:10:44.622Z"
"体贴","to be considerate","","2025-01-04T07:06:59.345Z"
"新鲜事","novelty","","2024-11-27T03:40:44.015Z"
"荒唐","ridiculous","","2025-06-14T18:01:39.906Z"
"嚣张","overbearing; arrogant","","2025-06-14T18:04:06.242Z"
"忽冷忽热","fluctuate; swings","","2025-02-19T07:49:33.569Z"
"胜过","better than/surpass","","2024-03-15T03:49:36.719Z"
"绝育","neuter","","2025-01-11T01:44:14.325Z"
"耽误","to delay (waste time)","","2025-01-22T05:42:28.763Z"
"炫耀","to show off","","2025-01-11T06:17:12.226Z"
"上坟","visit a grave","","2025-02-25T07:35:59.426Z"
"天花乱坠","fig. extravagant embellishments","","2025-06-14T17:52:37.114Z"
"适应","Adaptation","","2023-09-05T06:48:20.363Z"
"一举一动","each and every move","","2025-06-14T18:01:03.842Z"
"角色","Role (acting)","","2025-06-14T17:54:41.675Z"
"种类","category","","2025-03-07T08:32:03.410Z"
"极差","terrible","","2024-09-27T02:01:20.510Z"
"敢于","have the courage to do sth","","2025-05-14T04:03:01.948Z"
"打败","to defeat someone","","2025-01-17T06:08:38.358Z"
"梦境","dreamland","","2025-03-28T22:45:44.845Z"
"意识到","to realize","","2025-01-28T02:30:06.860Z"
"成熟","mature","","2025-01-09T06:27:35.283Z"
"机智","resourceful","","2025-01-06T06:36:29.779Z"
"沉稳","steady; composed","","2025-01-09T06:27:19.815Z"
"直面","head on","","2025-05-14T04:03:11.575Z"
"上瘾","addicted","","2025-01-09T05:30:58.412Z"
"击中","hit (a target etc)","","2025-01-09T05:49:11.752Z"
"管理","to manage","","2025-03-07T08:33:41.190Z"
"连贯","sequential; coherant","","2024-10-15T03:36:58.791Z"
"无限","Infinite","","2025-02-10T01:22:05.875Z"
"毕竟","After all","","2024-04-27T21:20:10.610Z"
"大体上","the big picture is","","2025-03-09T08:42:57.128Z"
"猜测","to guess","","2025-01-12T06:17:23.416Z"
"教育","Education","","2024-09-11T16:02:36.688Z"
"一阵子","a while","","2024-11-19T06:57:48.721Z"
"无奈","No choice","","2025-01-22T06:34:44.857Z"
"出于","to be based on","","2025-04-08T02:30:53.398Z"
"收拾","Tidy up","","2025-02-10T06:40:17.293Z"
"坦承","to admit","","2025-01-12T05:56:27.085Z"
"惊讶","to be surprised","","2025-01-08T05:03:50.649Z"
"警戒","be on the lookout","","2025-04-09T04:34:55.234Z"
"出息","ambitious","","2025-01-23T19:01:43.706Z"
"探索","to explore (knowledge, experiences)","","2025-01-09T04:08:06.182Z"
"当着","in person","","2025-01-15T00:46:07.042Z"
"透露","disclose","","2024-12-07T06:07:51.572Z"
"静音","mute","","2025-02-10T06:39:58.449Z"
"敌人","Enemy","","2025-05-11T04:39:05.179Z"
"明确","explicit","","2025-01-08T09:05:09.863Z"
"供应商","vendor; supplier","","2024-11-19T06:59:46.678Z"
"所","particles to express ownership","","2025-01-12T06:17:57.254Z"
"坦白","to be honest","","2024-06-18T07:03:02.726Z"
"形式","Form","","2024-09-17T18:43:58.441Z"
"无法","Unable to","","2025-05-11T04:40:02.102Z"
"牺牲","to sacrifice","","2024-05-28T15:36:17.254Z"
"团结","Solidarity","","2025-01-15T02:54:55.493Z"
"有罪","to be guilty of something","","2025-01-10T22:03:23.986Z"
"上午","morning","","2025-01-16T22:04:52.021Z"
"露两手","to demonstrate skills","","2024-11-02T05:07:53.728Z"
"穿透","to penetrate","","2024-12-08T05:55:19.474Z"
"上班","Go to work","","2025-04-29T20:33:04.751Z"
"注意到","to notice","","2025-01-28T02:28:53.905Z"
"主动","to take initiative","","2025-01-17T06:06:03.629Z"
"得知","to find out about","","2025-01-08T05:04:36.413Z"
"达人","expert","","2025-01-17T02:42:55.386Z"
"起码","At the very least","","2023-12-27T05:36:21.369Z"
"可靠","reliable","","2025-03-23T05:13:10.186Z"
"消失","to fade away","","2025-02-28T03:56:31.330Z"
"自卑","low self-esteem","","2025-04-22T05:51:24.936Z"
"移除","to remove","","2025-04-14T05:15:04.762Z"
"在于","to lie in; to depend on; to consist of","","2025-01-08T09:03:39.854Z"
"小样","kiddo","","2025-04-22T05:56:16.151Z"
"过渡","transition","","2025-01-08T09:01:03.686Z"
"蒙","to trick","","2025-01-15T03:54:48.449Z"
"细微","subtle","","2024-11-26T05:18:34.225Z"
"锐利","sharp","","2024-10-23T06:22:31.212Z"
"奇迹","Miracle; miraculous","","2025-02-08T03:51:07.115Z"
"至于","As for","","2024-02-22T02:21:22.850Z"
"干活","to work","","2025-04-04T01:11:57.796Z"
"家伙","dude","","2025-02-10T06:37:10.603Z"
"配合","Cooperate","","2025-01-15T23:42:57.059Z"
"层次","layers","","2025-04-14T16:22:20.550Z"
"随身物品","personal belongings (when out)","","2025-02-10T06:46:02.786Z"
"年度","annual","","2025-03-21T05:36:05.234Z"
"探监","visit a prisoner","","2025-03-07T00:26:02.703Z"
"失误","unintentional mistake","","2025-01-12T06:03:40.658Z"
"操作","to operate","","2025-01-17T06:07:47.078Z"
"锋利","sharp (e.g. knife blade)","","2025-03-21T04:21:52.588Z"
"进水","a state where water got in","","2025-05-25T17:57:59.548Z"
"勇敢","Brave","","2025-04-23T06:32:01.313Z"
"微醺","tipsy","","2024-07-03T04:21:22.462Z"
"人前显贵","dignified","","2025-04-23T06:22:26.017Z"
"里头","inside","","2024-10-20T04:05:14.313Z"
"好强","impressive","","2025-01-10T08:19:02.368Z"
"反倒","instead","","2024-09-27T05:18:12.274Z"
"抽象","Abstract","","2025-01-09T05:48:09.082Z"
"内疚","Guilt","","2024-10-13T07:28:37.299Z"
"闯祸","to cause trouble","","2025-01-12T05:43:56.747Z"
"反差","discrepancy","","2025-01-09T07:15:36.970Z"
"氛围","ambiance; vibe","","2025-01-18T07:12:53.210Z"
"排列","to arrange","","2024-11-26T05:37:54.703Z"
"骑虎难下","impossible to stop halfway","","2025-05-23T07:37:57.207Z"
"数据","data","","2025-01-10T07:14:05.948Z"
"心意","kind gesture","","2025-04-09T04:07:20.827Z"
"敷衍","to go through the motions","","2025-03-06T06:30:03.835Z"
"杂","miscellaneous","","2025-04-22T05:52:17.906Z"
"发誓","to vow","","2025-01-15T03:11:24.838Z"
"容器","Container","","2024-10-10T21:53:30.665Z"
"合并","to merge","","2024-05-23T04:32:55.502Z"
"广泛","widespread","","2024-02-19T21:05:54.302Z"
"坚持","to insist; to persist; to adhere to; incessantly","","2023-11-18T20:03:06.546Z"
"撤回","to retract","","2025-01-09T04:58:24.899Z"
"威力","destructive power","","2025-01-09T07:16:01.039Z"
"孝顺","filial piety","","2025-01-17T06:55:09.454Z"
"积分","points","","2025-01-10T08:16:00.570Z"
"附的","to append; to attach","","2024-10-13T07:25:06.597Z"
"先到先得","first come first served","","2025-03-12T06:14:56.189Z"
"互换","interchangeable; to interchange","","2024-11-26T05:16:39.019Z"
"中庸之道","moderation in all things","","2025-04-17T17:04:39.408Z"
"含盖","to cover (scope-wise)","","2024-11-21T03:30:49.240Z"
"改变主意","change one's mind","","2025-03-09T17:48:18.408Z"
"祈祷","Prayer; to pray","","2024-02-27T06:12:05.281Z"
"硬聊","reluctant small talk","","2025-04-22T05:49:48.926Z"
"榨","to squeeze out juice","","2025-03-08T03:57:53.760Z"
"重蹈覆彻","follow the same old path","","2025-03-08T04:48:21.788Z"
"全球","Global","","2025-01-08T09:26:41.661Z"
"房东","Landlord","","2025-04-22T05:52:49.539Z"
"贴心","to be considerate","","2025-01-09T06:27:56.987Z"
"前面","previous","","2025-01-08T09:34:04.459Z"
"个别","Individually","","2024-12-31T04:21:28.836Z"
"乐极生悲","Don't celebrate too soon","","2025-04-08T02:43:56.308Z"
"牺牲品","sacrificial lamp; loss leader","","2025-05-11T04:44:26.590Z"
"替","to do for","","2025-04-23T06:34:55.613Z"
"不知何故","somehow","","2025-01-10T18:18:55.293Z"
"再一次","(say) once again","","2025-01-12T06:08:09.096Z"
"机灵鬼","clever boy","","2025-01-22T06:38:17.208Z"
"乐意","to be happy to","","2024-11-24T03:16:31.588Z"
"兽","Animal; beast","","2024-11-24T03:09:00.108Z"
"快门","shutter","","2025-03-08T03:49:18.270Z"
"品味","preferences; taste","","2023-12-08T01:41:36.449Z"
"开放","Open-minded","","2024-09-15T06:16:38.011Z"
"幸运","Lucky","","2023-12-08T01:41:59.858Z"
"错别字","misspelt or mispronounced characters","","2025-01-11T01:17:01.904Z"
"作家","author; writer","","2024-12-17T18:57:53.518Z"
"相似","Similar","","2024-12-07T07:59:58.118Z"
"误","mistakenly","","2025-01-12T06:03:12.138Z"
"命令","a command","","2025-01-12T06:35:05.781Z"
"温馨","cozy","","2025-01-18T03:39:56.748Z"
"书桌","Desk","","2025-03-08T03:49:04.011Z"
"能否","whether or not","","2025-03-30T19:07:06.707Z"
"温度","Temperature","","2025-02-16T20:16:48.405Z"
"周围","around; surroundings","","2025-01-08T01:55:45.031Z"
"固体","Solid","","2024-12-08T05:56:01.769Z"
"可恶","damn it","","2025-02-10T06:42:13.389Z"
"接触","to contact; to meet","","2025-01-15T05:46:14.482Z"
"惭愧","ashamed; embarassed; guilty","","2024-10-13T07:28:10.358Z"
"榴莲","Durian","","2025-03-07T06:39:20.262Z"
"忽略","to ignore","","2025-01-10T21:15:32.837Z"
"狡猾","Cunning; crafty","","2025-01-09T06:55:57.976Z"
"高压","high pressure","","2024-11-24T00:43:01.626Z"
"根源","root cause","","2025-03-23T05:16:01.610Z"
"确定","certain","","2024-11-21T06:21:44.481Z"
"给面子","to cut someone some slack","","2025-02-23T04:19:23.826Z"
"节奏","tempo","","2025-04-08T02:28:32.998Z"
"友好","friendly","","2024-02-23T08:24:03.980Z"
"所料","expectations","","2025-01-08T05:32:19.816Z"
"噩梦","Nightmare","","2025-01-07T21:25:51.235Z"
"仅","only","","2025-01-09T06:05:34.818Z"
"果断","decisively","","2025-02-03T00:00:23.638Z"
"暂时","Temporary","","2025-02-01T03:19:39.314Z"
"供应链","supply chain","","2024-11-19T20:00:50.593Z"
"限于","be confined to; be limited to","","2024-04-30T03:34:58.187Z"
"特质","characteristic; trait","","2025-01-09T05:52:18.732Z"
"烈酒","liquor","","2024-11-24T02:28:30.718Z"
"多元","diverse; multiverse","","2024-12-07T07:47:46.195Z"
"提议","to propose","","2024-09-23T18:14:21.220Z"
"霸道","domineering","","2025-01-09T07:37:50.336Z"
"推销","to sell; to pedal","","2024-08-19T08:53:36.111Z"
"植物","Plants","","2023-12-07T23:31:01.346Z"
"合法","legal","","2024-11-23T05:52:37.358Z"
"更不用说","not to mention; let alone","","2024-10-13T06:15:36.541Z"
"天真","Naive","","2025-02-10T06:37:03.442Z"
"冲","towards","","2025-01-08T02:08:03.194Z"
"口香糖","chewing gums","","2024-09-17T05:24:33.129Z"
"后悔","regret; look back","","2024-10-19T02:41:02.977Z"
"目前为止","so far","","2024-09-24T07:35:43.866Z"
"服务员","Waiter","","2025-03-09T18:20:05.583Z"
"有朝一日","one day; sometime in the future","","2024-09-14T14:59:00.062Z"
"信任","Trust","","2023-07-11T06:24:25.354Z"
"尖锐","sharp","","2024-10-23T06:22:12.451Z"
"起作用","to play a role in something","","2025-01-05T06:46:34.294Z"
"自找","\"you asked for it\"","","2025-01-12T05:31:35.719Z"
"融化","to melt","","2025-01-13T22:18:47.575Z"
"柔软","flexible; soft","","2024-11-16T06:27:29.665Z"
"摇头","to shake one's head","","2024-12-10T07:06:23.063Z"
"抚摸","to stroke; to pet; to caress","","2024-09-28T04:30:00.475Z"
"邮件","email; mail","","2025-01-24T08:29:02.813Z"
"下头","to lose interest","","2025-01-13T05:41:32.694Z"
"外围","surrounding","","2024-09-19T06:35:57.123Z"
"色鬼","pervert","","2025-02-20T06:52:10.843Z"
"宁可","would rather","","2025-02-08T22:48:59.102Z"
"私下","privately","","2024-10-20T07:21:31.635Z"
"情侣","lover; couple","","2024-11-02T02:50:09.428Z"
"可行","feasible","","2024-10-23T05:42:45.932Z"
"面团","dough","","2024-11-24T02:53:05.162Z"
"步骤","step (in a process)","","2025-01-15T07:02:17.510Z"
"甩锅","to blame others","","2025-02-05T04:16:36.421Z"
"家居用品","household product","","2024-09-19T00:35:17.495Z"
"也许","maybe","","2024-12-21T08:22:21.213Z"
"思考","Thinking","","2025-01-15T00:55:59.251Z"
"命运","Destiny","","2025-01-13T23:59:47.788Z"
"宽大","lenient (adj)","","2024-11-09T06:26:01.404Z"
"积累","accumulation","","2024-04-06T18:30:45.382Z"
"平等","Equality","","2025-01-31T00:25:06.656Z"
"因果","karma; cause and effect","","2024-04-13T04:12:22.949Z"
"确认","Confirmation","","2024-06-19T07:08:18.748Z"
"祝你好运","Good luck","","2025-01-17T02:19:12.148Z"
"队友","teammate","","2025-01-14T07:48:20.739Z"
"平均","Average","","2025-01-14T04:57:33.508Z"
"临时","temporary","","2025-02-01T03:19:15.581Z"
"神奇","Magical; miraculous","","2025-01-19T04:16:41.047Z"
"象征","Symbolic","","2025-01-15T02:48:26.948Z"
"点心","snacks; dim sum","","2024-10-07T05:55:52.945Z"
"迷住","to be infatuated by","","2025-01-15T00:41:50.305Z"
"紧跟","to be immediately after","","2025-01-12T06:00:17.563Z"
"浴缸","Bathtub","","2024-10-13T07:23:53.442Z"
"达到","to achieve; to reach","","2023-12-07T23:51:48.375Z"
"对手","Opponent","","2025-01-14T07:48:08.999Z"
"当作","to treat as","","2025-01-09T05:42:20.912Z"
"定义","to define","","2025-01-09T07:18:05.144Z"
"看不起","look down on","","2025-01-14T16:30:40.849Z"
"随机","Random","","2024-10-13T07:26:26.627Z"
"腊肉","bacon","","2024-08-30T08:42:12.291Z"
"皱","wrinkle","","2024-11-30T08:01:55.831Z"
"照顾","to take care of","","2024-12-26T07:20:09.538Z"
"中式","Chinese style","","2024-12-15T01:30:07.486Z"
"格式","format","","2024-09-04T13:06:21.519Z"
"观点","Perspective; viewpoint; opinion","","2024-12-07T17:28:59.038Z"
"车祸","Car accident","","2024-09-19T14:46:28.101Z"
"结论","Conclusion; verdict","","2024-02-02T01:00:36.296Z"
"弄","to mess with something","","2024-12-05T02:11:30.387Z"
"点头","to nod","","2024-12-10T07:06:42.530Z"
"外向","extroverted (personality)","","2024-09-21T08:38:36.018Z"
"摆","to move a short distance","","2024-12-10T07:12:27.830Z"
"雾","fog","","2024-09-23T21:15:52.017Z"
"半透明","translucent; sheer","","2024-12-08T06:01:57.130Z"
"透明","transparent","","2024-12-08T05:54:57.765Z"
"展开","to unfold; to expand","","2024-12-08T05:43:45.719Z"
"放松","to relax","","2024-12-08T03:18:20.171Z"
"正要","about to","","2024-09-14T06:42:19.514Z"
"周间","weekday","","2024-09-28T03:43:21.035Z"
"自私","selfish","","2024-10-07T05:55:13.210Z"
"凤梨","pineapple","","2024-10-24T02:11:03.392Z"
"除","to divide","","2024-12-07T08:03:49.568Z"
"出口商","export business","","2024-01-30T00:30:30.585Z"
"凹","concave; depressed; indented","","2024-10-07T05:58:23.009Z"
"控制","self control","","2024-11-25T01:22:03.827Z"
"涨","swell; grow","","2024-11-18T05:28:11.579Z"
"芝加哥","Chicago","","2024-12-07T08:02:47.832Z"
"开刀","to have surgery done","","2024-12-06T06:48:57.159Z"
"负责","to be responsible for","","2024-11-19T20:01:29.982Z"
"气体","Gas","","2024-12-08T05:56:15.693Z"
"啮齿","a rodent (rat, rabbit etc)","","2024-09-23T22:32:47.046Z"
"延后","delay","","2024-09-23T20:48:07.548Z"
"音色","sound texture; timbre","","2024-09-09T03:17:38.127Z"
"工人","worker","","2024-11-24T00:39:39.561Z"
"异","different","","2024-10-07T05:56:31.032Z"
"落叶","Fallen leaves","","2024-11-24T00:41:20.454Z"
"害羞","shy","","2024-09-24T07:37:12.273Z"
"最大化","maximize","","2024-10-18T17:51:49.307Z"
"列","row","","2024-11-26T05:20:12.587Z"
"勾引","to seduce","","2024-10-05T04:56:39.744Z"
"无期","indefinite period","","2024-09-27T22:04:27.349Z"
"失踪","to be missing","","2023-11-12T08:59:03.604Z"
"查询","to query; to inquire","","2024-07-25T19:06:34.622Z"
"部门","department","","2024-11-19T20:01:08.318Z"
"常","often","","2024-09-04T12:30:28.268Z"
"连忙","hurried; urgently","","2024-01-23T03:16:29.173Z"
"杂事","chores","","2024-11-23T05:55:01.311Z"
"亲人","immediate family relatives","","2024-09-17T06:44:27.883Z"
"晓得","to know","","2024-11-25T21:57:43.377Z"
"供应","to supply","","2024-09-28T04:26:59.224Z"
"成人","adult","","2024-11-03T06:16:48.638Z"
"只要","As long as","","2024-09-04T12:45:05.392Z"
"惊艳","amazing","","2024-09-27T01:59:55.256Z"
"限时","time-limited","","2024-10-07T18:56:18.194Z"
"平日","Weekday","","2024-09-28T03:43:29.598Z"
"形容词","Adjectives","","2024-10-13T07:26:06.561Z"
"宽厚","tolerant (adj)","","2024-11-09T06:26:40.419Z"
"网站","Website","","2024-11-05T17:05:23.724Z"
"备胎","spare tire; backup boy (dating)","","2024-10-20T01:47:04.270Z"
"人品","morals","","2023-12-06T08:50:44.776Z"
"使","to make; to cause","","2024-09-27T01:57:05.500Z"
"香菜","cilantro","","2024-09-18T06:08:35.888Z"
"整体来说","all things considered","","2024-10-06T18:04:18.904Z"
"隧道","tunnel","","2024-08-19T08:44:04.844Z"
"自然","natural","","2024-09-17T07:18:01.322Z"
"驾照","Driving licence","","2024-09-19T14:42:10.348Z"
"生存","to survive","","2024-10-07T00:40:28.162Z"
"错过","to miss (targetting something)","","2024-10-16T04:54:19.426Z"
"不屑","disdain","","2024-10-13T07:26:46.599Z"
"逗弄","to provoke; to tease","","2024-09-15T06:38:37.060Z"
"痕迹","trace","","2024-09-29T23:45:07.364Z"
"钝","dull","","2024-10-23T06:22:55.006Z"
"细节","Details","","2024-09-28T04:19:02.926Z"
"平方","square (as in square foot, square mile, square root)","","2024-07-15T19:52:32.558Z"
"宠物","pet","","2024-09-18T07:34:54.732Z"
"和好","to make up (with sb)","","2024-10-07T18:57:10.621Z"
"施工","construction","","2024-09-19T00:19:17.547Z"
"深入","thorough; detailed","","2024-09-19T05:27:45.149Z"
"精神","consious; awake","","2025-01-10T07:42:09.111Z"
"内部","Internal","","2024-05-23T04:08:46.094Z"
"预约","reservation","","2024-10-24T03:55:15.939Z"
"介词","preposition","","2025-01-12T06:13:37.162Z"
"霸气","Big dick energy","","2024-04-17T03:08:15.128Z"
"防水","waterproof","","2024-09-17T16:06:28.286Z"
"容貌","appearance","","2024-10-13T07:25:48.227Z"
"卡车","Trucks","","2024-10-24T02:22:48.767Z"
"旗子","flag","","2024-09-29T23:43:15.032Z"
"东岸","east coast","","2024-03-05T02:33:14.849Z"
"自豪","proud","","2024-09-15T06:44:38.012Z"
"用品","products (store)","","2024-09-19T00:34:55.459Z"
"造","to create; to make; to build","","2024-10-31T07:07:04.304Z"
"介绍","Introduction","","2023-09-05T06:31:13.955Z"
"叠加","fusion; superimpose","","2024-04-03T03:25:42.422Z"
"不公开","not transparent","","2024-03-01T23:15:47.285Z"
"教授","Professor","","2023-11-18T20:16:20.951Z"
"散光","astigmatism; blurry lights","","2024-10-03T18:20:46.141Z"
"经验","Experience","","2024-10-07T18:56:38.514Z"
"覆盆子","raspberry","","2024-09-26T02:25:49.819Z"
"微软","Microsoft","","2024-10-24T01:58:35.345Z"
"人工智能","Artificial Intelligence","","2023-11-06T04:00:27.220Z"
"反之亦然","vice versa","","2024-09-14T06:32:08.347Z"
"碎石","gravel","","2024-07-15T20:12:37.980Z"
"基于","Based on; because of","","2023-08-24T05:24:51.499Z"
"发生","to occur","","2024-04-05T05:54:01.156Z"
"专业","Speciality; college major","","2024-07-17T16:40:52.037Z"
"拜","worship; pay respects to","","2024-09-14T05:14:36.985Z"
"功能","function","","2024-02-19T21:06:30.919Z"
"怀里","embrace","","2024-10-05T05:49:03.897Z"
"正式","Official; formal","","2024-09-09T13:55:13.873Z"
"多半","mostly","","2024-04-15T19:42:23.867Z"
"液体","Liquid","","2024-09-29T23:44:40.532Z"
"念","to read; to miss; to chew someone out","","2024-09-30T06:21:52.327Z"
"浅眠","light sleeper","","2024-09-19T00:16:54.427Z"
"讨人喜欢","to people please","","2024-03-04T20:51:12.626Z"
"仙人掌","cactus","","2023-12-07T23:31:32.394Z"
"生肖","Chinese zodiac","","2023-12-27T08:40:08.914Z"
"骂人","to yell at","","2024-09-19T03:47:25.223Z"
"剩下来","the remaining","","2024-09-16T03:53:43.035Z"
"面积","Area","","2024-07-15T19:52:06.190Z"
"偏好","Preference","","2024-02-02T19:46:43.611Z"
"懒得","doesnt feel like doing","","2024-09-17T03:53:21.634Z"
"载","to carry; to load","","2024-09-14T06:02:27.056Z"
"欺负","Bullying","","2024-09-15T06:38:47.285Z"
"超级","Super","","2024-04-15T01:24:39.982Z"
"赚","to make profit","","2024-08-14T03:06:37.861Z"
"炽热","passionate","","2023-08-24T05:58:16.745Z"
"俯卧撑","push-up (physical exercise)","","2024-05-22T22:09:35.823Z"
"个人","Personal","","2024-09-04T12:44:50.640Z"
"编号","id number; serial number","","2024-08-19T07:01:56.092Z"
"悲伤","grief","","2024-02-02T01:34:15.161Z"
"诱使","entice","","2023-10-26T03:33:46.332Z"
"左右","Around; about","","2024-08-18T22:47:30.879Z"
"银子","Silver","","2023-09-16T11:34:40.464Z"
"向往","to yearn for","","2024-04-30T21:33:46.786Z"
"宣战","declare war","","2024-04-17T03:06:37.225Z"
"酒窝","dimple","","2024-02-27T06:23:39.013Z"
"将","will; shall","","2024-04-12T00:08:18.051Z"
"怕痒","be ticklish","","2024-05-22T22:16:28.738Z"
"不仅","not only...","","2023-07-05T00:35:58.283Z"
"冰雹","hail","","2024-07-15T19:56:32.834Z"
"老是","Always","","2024-08-21T05:34:01.257Z"
"词序","word order","","2024-04-12T00:32:19.491Z"
"贪婪","greedy; insatiable","","2024-05-25T08:37:26.782Z"
"老板","boss; business owner","","2024-08-20T07:44:53.569Z"
"设定","establish","","2023-11-24T06:26:28.717Z"
"隐隐作痛","ache dully","","2024-04-30T21:27:26.612Z"
"充分","sufficient","","2024-03-15T03:49:06.343Z"
"陪","to Accompany","","2024-05-22T22:11:17.063Z"
"人为","man-made","","2024-07-15T19:51:46.344Z"
"通过","By means of; via; to pass through","","2024-04-10T16:35:59.642Z"
"打算","to plan","","2023-07-11T19:07:41.628Z"
"趣味","Fun","","2023-07-12T19:11:35.079Z"
"板上钉钉","to close out","","2024-04-03T03:49:34.466Z"
"艺术","Art","","2024-07-15T20:12:43.797Z"
"导游","Tour guide","","2024-01-17T03:22:39.365Z"
"吊胃口","to lead on","","2024-04-03T01:49:42.528Z"
"消息","News","","2024-03-04T07:47:28.848Z"
"程序","program","","2024-04-10T16:47:03.164Z"
"带走","Take away","","2024-04-15T17:40:18.786Z"
"商人","businessman; merchant","","2024-01-17T03:09:20.560Z"
"轮流","to take turn; to alternate","","2024-02-21T02:24:24.999Z"
"永久","permanent","","2023-12-08T00:27:21.404Z"
"顺序","Order","","2024-04-11T23:54:32.313Z"
"直译","literal translation","","2024-04-11T23:59:00.801Z"
"单独","indepentently; separately from the group","","2024-03-04T08:09:11.199Z"
"实用","Practical","","2024-03-24T21:12:22.385Z"
"材料","Material","","2024-07-15T20:08:15.429Z"
